frame,timestamp,target_id,pred_x,pred_y,radius,confidence,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg
342,11.399579,26,350.323,231.303,42.277,1.0000,0,0,352.243,228.291,,39,63,1,0,0,-4.3140,0.7010,-1.2642
343,11.432911,26,350.197,231.119,42.341,1.0000,0,0,352.462,230.142,,43,64,1,0,0,-4.5792,1.2975,-2.7548
344,11.466244,26,349.988,230.982,42.387,1.0000,0,0,353.109,229.896,,36,64,1,0,0,-4.0363,1.2282,-1.9029
345,11.499576,26,349.816,230.871,42.420,1.0000,0,0,353.109,229.896,,38,64,1,0,0,-3.7981,1.5430,-5.0256
346,11.532908,26,349.741,230.757,42.279,1.0000,0,0,353.230,231.242,,36,64,1,0,0,-4.1282,1.4244,-2.7924
347,11.566240,26,349.708,230.711,42.262,1.0000,0,0,353.230,231.242,,33,64,1,0,0,-3.4654,1.5221,-1.5062
348,11.599572,26,349.575,230.411,42.332,1.0000,0,0,353.399,232.964,,34,64,1,0,0,-3.4692,1.6570,-1.0300
349,11.632904,26,349.428,230.132,42.300,1.0000,0,0,353.407,232.864,,30,64,1,0,0,-3.5730,1.7227,-0.2394
350,11.666236,26,349.256,229.900,42.278,1.0000,0,0,353.398,232.964,,34,65,1,0,0,-3.5761,1.6723,-4.9311
351,11.699568,26,349.166,229.715,42.344,1.0000,0,0,353.380,232.949,,31,65,1,0,0,-3.5020,1.7351,-1.2476
352,11.732900,26,349.194,229.644,42.228,1.0000,0,0,353.342,232.980,,31,66,1,0,0,-3.8689,1.8793,-0.1295
353,11.766232,26,349.195,229.712,42.227,1.0000,0,0,353.383,232.955,,36,66,1,0,0,-3.5923,1.9430,-1.9709
354,11.799565,26,349.198,229.920,42.227,1.0000,0,0,353.360,232.963,,34,66,1,0,0,-3.2652,2.0463,-6.1802
355,11.832897,26,346.846,227.669,42.228,1.0000,0,0,353.298,233.027,,39,66,1,0,0,-3.5089,2.3345,-1.8012
356,11.866229,26,344.985,226.179,42.229,1.0000,0,0,353.344,233.011,,29,66,1,0,0,-3.2831,2.1853,-0.9453
357,11.899561,26,346.355,227.145,42.312,1.0000,0,0,353.383,232.955,,34,66,1,0,0,-2.8936,2.1442,-0.3068
358,11.932893,26,347.364,227.917,42.454,1.0000,0,0,353.401,232.971,,30,64,1,0,0,-2.8687,2.5998,1.9800
359,11.966225,26,348.087,228.392,42.473,1.0000,0,0,353.425,232.975,,37,64,1,0,0,-2.6082,2.2268,0.3954
360,11.999557,26,348.642,228.815,42.404,1.0000,0,0,353.452,232.958,,30,63,1,0,0,-2.3937,2.0714,-1.5038
361,12.032889,26,349.058,229.231,42.190,1.0000,0,0,353.452,233.025,,34,62,1,0,0,-2.5371,2.7530,-2.0050
362,12.066221,26,349.275,229.612,42.119,1.0000,0,0,353.861,231.702,,41,65,1,0,0,-2.2817,2.5760,0.4796
363,12.099554,26,349.504,229.995,42.235,1.0000,0,0,352.566,230.050,,41,64,1,0,0,-2.2726,2.4078,1.1945
364,12.132886,26,349.606,230.307,42.317,1.0000,0,0,352.380,229.078,,38,64,1,0,0,-2.3292,2.6699,-0.9434
365,12.166218,26,349.737,230.484,42.294,1.0000,0,0,352.380,229.078,,36,63,1,0,0,-1.7046,2.1611,-0.0079
366,12.199550,26,349.970,230.640,42.278,1.0000,0,0,352.492,229.208,,43,64,1,0,0,-1.7296,2.8845,1.3365
367,12.232882,26,350.182,230.752,42.348,1.0000,0,0,352.348,229.098,,41,65,1,0,0,-2.1578,3.6817,-1.7060
368,12.266214,26,350.404,230.899,42.481,1.0000,0,0,352.319,229.106,,38,65,1,0,0,-1.9834,3.4843,-1.5580
369,12.299546,26,350.577,231.022,42.576,1.0000,0,0,352.319,229.106,,38,65,1,0,0,-1.9283,3.3841,-2.7554
370,12.332878,26,350.644,231.089,42.478,1.0000,0,0,313.740,105.754,,34,65,1,0,0,-1.7190,3.6719,-1.2847
371,12.366210,26,350.670,231.068,42.490,1.0000,0,0,313.276,106.891,,35,68,1,0,0,-1.5300,3.2650,-0.1609
372,12.399542,26,350.528,231.421,42.416,1.0000,0,0,352.503,226.160,,38,68,1,0,0,-1.4548,2.8803,-0.7002
373,12.432875,26,350.412,231.864,42.446,1.0000,0,0,352.669,225.015,,34,69,1,0,0,-1.1445,3.2540,-1.1354
374,12.466207,26,350.298,232.144,42.384,1.0000,0,0,352.545,225.088,,39,69,1,0,0,-0.7022,2.6530,-0.3646
375,12.499539,26,350.264,232.390,42.175,1.0000,0,0,352.567,225.082,,37,68,1,0,0,-0.5495,2.9113,1.2342
376,12.532871,26,350.236,232.658,42.191,1.0000,0,0,352.601,225.102,,36,68,1,0,0,-0.5151,3.2190,-2.2238
377,12.566203,26,350.245,232.895,42.286,1.0000,0,0,352.553,225.108,,36,66,1,0,0,-0.3809,2.9236,-1.5403
378,12.599535,26,350.380,233.078,42.271,1.0000,0,0,352.438,225.004,,32,66,1,0,0,-0.1634,2.8970,-0.8076
379,12.632867,26,350.657,233.018,42.425,1.0000,0,0,352.602,225.077,,44,63,1,0,0,-0.1299,3.3555,-2.0139
380,12.666199,26,350.896,232.853,42.371,1.0000,0,0,352.451,224.081,,39,63,1,0,0,-0.1583,2.8470,-4.4824
381,12.699531,26,351.076,233.066,42.249,1.0000,0,0,352.175,223.071,,35,63,1,0,0,0.0758,2.7607,-3.4103
382,12.732863,26,351.108,232.925,42.410,1.0000,0,0,351.510,223.441,,39,61,1,0,0,0.4970,3.1333,-3.4605
383,12.766196,26,351.199,232.773,42.607,1.0000,0,0,351.500,223.463,,38,60,1,0,0,0.3785,2.8753,-0.1936
384,12.799528,26,351.170,232.546,42.500,1.0000,0,0,351.499,223.487,,35,61,1,0,0,0.5433,2.6982,-0.1698
385,12.832860,26,351.245,232.264,42.423,1.0000,0,0,351.463,223.432,8.835,41,61,1,0,0,0.6023,3.3475,-2.4101
386,12.866192,26,351.259,232.019,42.450,1.0000,0,0,351.398,223.583,8.437,35,62,1,0,0,0.7126,3.0214,-1.3483
387,12.899524,26,351.326,231.830,42.387,1.0000,0,0,351.471,223.552,8.279,39,62,1,0,0,0.5908,2.7531,0.3575
388,12.932856,26,352.858,230.563,42.836,1.0000,0,0,351.502,223.361,7.328,40,62,1,0,0,1.0928,3.2993,-0.3235
389,12.966188,26,355.343,228.993,42.991,1.0000,0,0,351.408,223.477,6.776,40,62,1,0,0,1.1318,2.8491,-1.0233
390,12.999520,26,358.140,227.752,42.771,1.0000,0,0,351.502,223.363,7.958,34,62,1,0,0,1.2855,2.8211,0.6109
391,13.032852,26,361.307,227.049,42.695,1.0000,0,0,351.378,223.507,10.542,41,62,1,0,0,1.5530,3.3782,0.3603
392,13.066185,26,364.311,227.039,42.805,1.0000,0,0,351.296,223.432,13.505,39,62,1,0,0,1.6909,2.8294,-0.8145
393,13.099517,26,367.328,227.328,42.636,1.0000,0,0,351.329,223.345,16.487,41,63,1,0,0,1.7280,2.6751,-3.6365
394,13.132849,26,370.650,228.208,42.597,1.0000,0,0,351.186,222.527,20.276,32,63,1,0,0,1.6629,2.3747,-1.3071
395,13.166181,26,373.599,228.939,42.239,1.0000,0,0,351.476,218.226,24.581,36,63,1,0,0,2.0285,2.5514,1.9629
396,13.199513,26,375.897,229.661,41.984,1.0000,0,0,352.045,214.945,28.026,39,64,1,0,0,1.7654,2.4758,1.5540
397,13.232845,26,378.364,230.136,41.309,1.0000,0,0,355.237,211.446,29.735,39,65,1,0,0,2.3702,2.6485,-0.4796
398,13.266177,26,381.668,231.387,40.501,1.0000,0,0,358.153,211.175,31.008,37,65,1,0,0,2.9467,3.0268,2.6747
